site_code,id,veg_type
RUCok,1,7
RUChe,2,11
AON,3,7
RUVrk,4,6
TUR,5,3
NEL,6,3
YLF,7,3
YPF,8,1
RUZot,9,1
RUFyo,10,1
RUHa2,11,10
RUHa1,12,10
RUHa3,13,10
SKT,14,3
KBU,15,10
LSH,16,3
TSE,17,5
MBF,18,4
MMF,19,5
SAP,20,4
TMK,21,3
CBS,22,5
API,23,4
SMK,24,5
GDK,25,5
GCK,26,1
HBG,27,10
QHB,28,10
YCS,29,12
TKY,30,4
TKC,31,1
MSE,32,12
FJY,33,1
FHK,34,3
SMF,35,5
KEW,36,1
YMS,37,4
HFK,38,12
KHW,39,1
ILYat,40,1
KTM,41,5
QYZ,42,1
CLM,43,1
BNS,44,2
MKL,45,2
SKR,46,2
IRI-NFL,47,12
IRI-FL,48,12
SDDem,49,10
PSO,50,2
BKS,51,2
PUF,52,2
PDB,53,10
PDF,54,2
