Version,Ensemble,Veg_Type_Code,R2,RMSD,Veg_Type
c05,Ensemble Mean,11,0.8846796236708907,0.8978436224662862,WET
c05,Ensemble Mean,6,0.8560237297331906,1.0488758450353404,CSH
c05,Ensemble Mean,4,0.8007917571057069,1.9629311175638333,DBF
c05,Ensemble Mean,1,0.7772652448780446,1.8418921516649056,ENF
c05,Ensemble Mean,5,0.7755918027908492,1.7827384124380967,MF
c05,Ensemble Mean,3,0.7714326609510043,2.549721820357401,DNF
c05,Ensemble Mean,7,0.7428793719269248,0.9695209881520147,OSH
c05,Ensemble Mean,12,0.5692977147665241,2.4789781473276196,CRO
c05,Ensemble Mean,10,0.44482032374202307,2.349504902466713,GRA
c05,Ensemble Mean,2,0.3288103147893601,2.6204420690852515,EBF
c06,209,11,0.8548256580997882,0.7554847134735831,WET
c06,209,1,0.777460707091821,1.8169047736481798,ENF
c06,209,4,0.7702207106624347,2.1849429291779066,DBF
c06,209,3,0.7553767726487431,2.479885181771703,DNF
c06,209,5,0.750865439246472,1.7944229886630791,MF
c06,209,7,0.6453995258201861,1.101431889479944,OSH
c06,209,12,0.5588200928327529,2.5215368806849123,CRO
c06,209,10,0.420338961496125,2.2885915456299166,GRA
c06,209,6,0.22823645086105632,2.11742795043615,CSH
c06,209,2,0.22288289222413094,2.563106537711454,EBF
c61,Ensemble Mean,11,0.8279288520564577,0.9183931838932354,WET
c61,Ensemble Mean,1,0.7494056526929211,1.8962791419919365,ENF
c61,Ensemble Mean,4,0.7423463081827617,2.2480364620579603,DBF
c61,Ensemble Mean,3,0.7188064036424264,2.701224862037872,DNF
c61,Ensemble Mean,7,0.637294920644204,1.1958256950445962,OSH
c61,Ensemble Mean,5,0.6336328155374585,2.0618656798397064,MF
c61,Ensemble Mean,6,0.5471324533735021,1.462151698326692,CSH
c61,Ensemble Mean,12,0.4510777109847243,2.7840612360418904,CRO
c61,Ensemble Mean,10,0.33572965164330143,2.5144744766008653,GRA
c61,Ensemble Mean,2,0.3104940465105112,2.574485504415976,EBF
